Id,Full name,Company name,Email,Phone,Project name,Project description,Department,Message,Created at,Updated at
169,David Taylor,Stratus Properties Inc.,LindaDBarrett@rhyta.com,383-112-7260,Stratus Properties Inc.,,Webdesign,,13/06/2018,13/06/2018
170,Rachelle Berry,Voya Natural Resources Equity Income Fund,WilliamJRoberts@cuvox.de,484-406-2239,Voya Natural Resources Equity Income Fund,,Marketing,,18/06/2018,18/06/2018
171,Jose Reed,Fifth Street Senior Floating Rate Corp.,VeronicaRAble@einrot.com,903-909-0013,Fifth Street Senior Floating Rate Corp.,,Webdesign,,23/06/2018,23/06/2018
172,Maria Leary,"Emergent Biosolutions, Inc.",RaquelRSmith@cuvox.de,622-380-5314,"Emergent Biosolutions, Inc.",,Marketing,,25/06/2018,25/06/2018
173,Wilma Wilmot,BB&T Corporation,AnnetteHWhitley@armyspy.com,587-521-9169,BB&T Corporation,,Webdesign,,26/06/2018,26/06/2018
174,Bennett Quinlan,Pingtan Marine Enterprise Ltd.,KarenLMoorhead@dayrep.com,209-634-4058,Pingtan Marine Enterprise Ltd.,,Marketing,,27/06/2018,27/06/2018
175,Justin Thompson,Calamos Global Dynamic Income Fund,JonathanMManning@superrito.com,498-526-9855,Calamos Global Dynamic Income Fund,,Webdesign,,03/07/2018,03/07/2018
176,Louis Day,"GNC Holdings, Inc.",WilliamBDeherrera@teleworm.us,627-299-9139,"GNC Holdings, Inc.",,Marketing,,11/07/2018,11/07/2018
177,Chery Rogers,"Kayne Anderson Midstream Energy Fund, Inc",DavidJHuskey@superrito.com,764-894-8971,"Kayne Anderson Midstream Energy Fund, Inc",,Webdesign,,22/07/2018,22/07/2018
178,Tom Green,"Colony NorthStar, Inc.",ErnestMHafley@einrot.com,743-148-9059,"Colony NorthStar, Inc.",,Marketing,,06/08/2018,06/08/2018
179,Millie Rybicki,PowerShares Global Water Portfolio,SeanHSkillings@gustr.com,529-183-1824,PowerShares Global Water Portfolio,,Webdesign,,06/08/2018,06/08/2018
180,Ma Daye,Nuveen Municipal 2021 Target Term Fund,DavidHBrooks@rhyta.com,187-338-3098,Nuveen Municipal 2021 Target Term Fund,,Marketing,,13/08/2018,13/08/2018
181,Phyllis Ward,Royal Bank Scotland plc (The),WilliamNDrysdale@fleckens.hu,368-227-6471,Royal Bank Scotland plc (The),,Webdesign,,14/08/2018,14/08/2018
182,Patrick Hill,"Selective Insurance Group, Inc.",WilliamPBowers@cuvox.de,251-650-0636,"Selective Insurance Group, Inc.",,Marketing,,15/08/2018,15/08/2018
183,Linda Barrett,"Groupon, Inc.",StanleyDRosenstein@einrot.com,671-947-9394,"Groupon, Inc.",,Webdesign,,04/09/2018,04/09/2018
184,William Roberts,Canadian Solar Inc.,PaulFRhem@rhyta.com,176-222-7026,Canadian Solar Inc.,,Marketing,,04/09/2018,04/09/2018
185,Veronica Able,HSBC Holdings plc,BarbaraRDoggett@armyspy.com,420-788-7679,HSBC Holdings plc,,Webdesign,,05/09/2018,05/09/2018
186,Raquel Smith,DURECT Corporation,RaulPBuckner@teleworm.us,988-832-1574,DURECT Corporation,,Marketing,,09/09/2018,09/09/2018
187,Annette Whitley,"Westar Energy, Inc.",LyndaTFerrel@dayrep.com,971-881-9343,"Westar Energy, Inc.",,Webdesign,,13/09/2018,13/09/2018
188,Karen Moorhead,"DHT Holdings, Inc.",JamesJMorel@gustr.com,696-946-7169,"DHT Holdings, Inc.",,Marketing,,14/09/2018,14/09/2018
189,Jonathan Manning,Pimco New York Municipal Income Fund II,ScottMHall@gustr.com,666-442-2626,Pimco New York Municipal Income Fund II,,Webdesign,,19/09/2018,19/09/2018
190,William Deherrera,Yelp Inc.,MarkWPrice@fleckens.hu,460-116-7515,Yelp Inc.,,Marketing,,20/09/2018,20/09/2018
191,David Huskey,Double Eagle Acquisition Corp.,EvelynHSmith@gustr.com,160-712-0495,Double Eagle Acquisition Corp.,,Webdesign,,21/09/2018,21/09/2018
192,Ernest Hafley,"Xencor, Inc.",FrankFTurner@armyspy.com,278-499-4048,"Xencor, Inc.",,Marketing,,21/09/2018,21/09/2018
193,Sean Skillings,"Ohr Pharmaceuticals, Inc.",RaymondPMims@teleworm.us,193-624-7785,"Ohr Pharmaceuticals, Inc.",,Webdesign,,24/09/2018,24/09/2018
194,David Brooks,Polaris Industries Inc.,RonaldKCook@jourrapide.com,675-374-2768,Polaris Industries Inc.,,Marketing,,24/09/2018,24/09/2018
195,William Drysdale,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,SandraRJohnson@armyspy.com,915-463-4663,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,,Webdesign,,27/09/2018,27/09/2018
196,William Bowers,Altisource Residential Corporation,AndreaLHiggins@superrito.com,740-577-2042,Altisource Residential Corporation,,Marketing,,30/09/2018,30/09/2018
197,Stanley Rosenstein,iPath US Treasury 10-year Bear ETN,DennisMBliss@einrot.com,647-556-4881,iPath US Treasury 10-year Bear ETN,,Webdesign,,02/10/2018,02/10/2018
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
