Id,Created at,Updated at,Quote type,Full name,Business name,Email,Nb floors,Nb apt,Nb base,Nb cies,Nb parking,Nb shaft,Nb corp,Nb person,Bus hours,Req elev,Option,Nb elev,Price per elev,Elev total,Cost install,Total
141,27/03/2018,27/03/2018,hybrid,Chad Sun,MFS Charter Income Trust,KristenKClay@superrito.com,17, - ,3,200,250,4, - , - , - ,4,Excelium,4,15400,61600,9856,71456
142,29/03/2018,29/03/2018,commercial,Suzanne Charbonneau,"Codexis, Inc.",NedNThomas@einrot.com,67, - ,5,154,1102, - , - ,300, - ,24,Premium,24,12345,296280,38516.4,334796
143,31/03/2018,31/03/2018,corporate,Charles Mullis,"Rockwell Automation, Inc.",DeloresCEmmer@fleckens.hu,10,400,4, - , - , - , - , - , - ,7,Standard,7,7565,52955,5295.5,58250.5
144,1/4/2018,1/4/2018,commercial,Randal Moss,"Nike, Inc.",HelenGMills@armyspy.com,5,48,2, - , - , - , - , - , - ,2,Standard,2,7565,15130,1513,16643
145,2/4/2018,2/4/2018,hybrid,Kate Miner,"Westar Energy, Inc.",DavidSTaylor@fleckens.hu,5, - ,3,60,200, - , - ,44, - ,1,Premium,1,12345,12345,1604.85,13949.8
146,2/4/2018,2/4/2018,residential,Susan Hansen,Alliance National Municipal Income Fund Inc,RachellePBerry@teleworm.us,20,400,4, - , - , - , - , - , - ,4,Premium,4,12345,49380,6419.4,55799.4
147,5/4/2018,5/4/2018,commercial,Ryan Merrill,"Texas Capital Bancshares, Inc.",JoseLReed@cuvox.de,8, - ,2, - ,890, - ,56,678, - ,7,Excelium,7,15400,107800,17248,125048
148,13/04/2018,13/04/2018,commercial,Jean Farnsworth,"AeroVironment, Inc.",MariaDLeary@fleckens.hu,20, - ,2, - ,200, - ,250,200, - ,6,Premium,6,12345,74070,9629.1,83699.1
149,19/04/2018,19/04/2018,hybrid,Joe Beeman,"FCB Financial Holdings, Inc.",WilmaWWilmot@gustr.com,30, - ,4,88,4,5, - , - , - ,5,Standard,5,7565,37825,3782.5,41607.5
150,24/04/2018,24/04/2018,corporate,Donald Campbell,"Grifols, S.A.",BennettMQuinlan@teleworm.us,64, - ,2,54,298,18, - , - , - ,18,Excelium,18,15400,277200,44352,321552
151,27/04/2018,27/04/2018,corporate,Jonathan Park,"PS Business Parks, Inc.",JustinTThompson@gustr.com,15,300,2, - , - , - , - , - , - ,4,Premium,4,12345,49380,6419.4,55799.4
152,29/04/2018,29/04/2018,hybrid,Todd Unger,FORM Holdings Corp.,LouisTDay@jourrapide.com,3,2,1, - , - , - , - , - , - ,1,Standard,1,7565,7565,756.5,8321.5
153,30/04/2018,30/04/2018,commercial,Joe Dodge,F.N.B. Corporation,CheryRRogers@dayrep.com,2, - ,1,8,30, - , - ,30, - ,1,Excelium,1,15400,15400,2464,17864
154,4/5/2018,4/5/2018,hybrid,Theodore Abraham,New Home Company Inc. (The),TomVGreen@armyspy.com,12, - ,4,200,300,4, - , - , - ,4,Premium,4,12345,49380,6419.4,55799.4
155,8/5/2018,8/5/2018,commercial,Kristen Clay,Federal Agricultural Mortgage Corporation,MillieCRybicki@superrito.com,24, - ,5,83,670, - , - ,320, - ,10,Standard,10,7565,75650,7565,83215
156,9/5/2018,9/5/2018,hybrid,Ned Thomas,"TC PipeLines, LP",MaJDaye@superrito.com,36,680,5, - , - , - , - , - , - ,8,Excelium,8,15400,123200,19712,142912
157,10/5/2018,10/5/2018,corporate,Delores Emmer,"Aoxin Tianli Group, Inc.",PhyllisRWard@jourrapide.com,16, - ,4,300,300,3, - , - , - ,3,Premium,3,12345,37035,4814.55,41849.6
158,10/5/2018,10/5/2018,corporate,Helen Mills,"C.R. Bard, Inc.",PatrickMHill@fleckens.hu,14, - ,4,540,1120, - , - ,500, - ,9,Premium,9,12345,111105,14443.7,125549
159,11/5/2018,11/5/2018,corporate,David Taylor,Stratus Properties Inc.,LindaDBarrett@rhyta.com,20, - ,5,300,400, - , - ,400, - ,10,Premium,10,12345,123450,16048.5,139498
160,12/5/2018,12/5/2018,corporate,Rachelle Berry,Voya Natural Resources Equity Income Fund,WilliamJRoberts@cuvox.de,72, - ,5, - ,1486, - ,85,412, - ,32,Premium,32,12345,395040,51355.2,446395
161,13/05/2018,13/05/2018,corporate,Jose Reed,Fifth Street Senior Floating Rate Corp.,VeronicaRAble@einrot.com,1,3,0, - , - , - , - , - , - ,1,Premium,1,12345,12345,1604.85,13949.8
162,20/05/2018,20/05/2018,corporate,Maria Leary,"Emergent Biosolutions, Inc.",RaquelRSmith@cuvox.de,17, - ,5, - ,749, - ,7,820, - ,20,Premium,20,12345,246900,32097,278997
163,25/05/2018,25/05/2018,hybrid,Wilma Wilmot,BB&T Corporation,AnnetteHWhitley@armyspy.com,14,200,2, - , - , - , - , - , - ,3,Excelium,3,15400,46200,7392,53592
164,27/05/2018,27/05/2018,hybrid,Bennett Quinlan,Pingtan Marine Enterprise Ltd.,KarenLMoorhead@dayrep.com,1,4,0, - , - , - , - , - , - ,1,Excelium,1,15400,15400,2464,17864
165,31/05/2018,31/05/2018,hybrid,Justin Thompson,Calamos Global Dynamic Income Fund,JonathanMManning@superrito.com,13,400,2, - , - , - , - , - , - ,6,Standard,6,7565,45390,4539,49929
166,2/6/2018,2/6/2018,hybrid,Louis Day,"GNC Holdings, Inc.",WilliamBDeherrera@teleworm.us,2, - ,1, - ,1238, - ,145,2100, - ,7,Excelium,7,15400,107800,17248,125048
167,4/6/2018,4/6/2018,hybrid,Chery Rogers,"Kayne Anderson Midstream Energy Fund, Inc",DavidJHuskey@superrito.com,2,6,1, - , - , - , - , - , - ,1,Standard,1,7565,7565,756.5,8321.5
168,7/6/2018,7/6/2018,commercial,Tom Green,"Colony NorthStar, Inc.",ErnestMHafley@einrot.com,12,300,3, - , - , - , - , - , - ,5,Excelium,5,15400,77000,12320,89320
169,13/06/2018,13/06/2018,hybrid,Millie Rybicki,PowerShares Global Water Portfolio,SeanHSkillings@gustr.com,65, - ,4,128,453, - , - ,124, - ,12,Standard,12,7565,90780,9078,99858
170,18/06/2018,18/06/2018,hybrid,Ma Daye,Nuveen Municipal 2021 Target Term Fund,DavidHBrooks@rhyta.com,69, - ,6,69,6969, - , - ,696, - ,56,Premium,56,12345,691320,89871.6,781192
171,23/06/2018,23/06/2018,hybrid,Phyllis Ward,Royal Bank Scotland plc (The),WilliamNDrysdale@fleckens.hu,12, - ,2,300,350, - , - ,300, - ,5,Excelium,5,15400,77000,12320,89320
172,25/06/2018,25/06/2018,corporate,Patrick Hill,"Selective Insurance Group, Inc.",WilliamPBowers@cuvox.de,15, - ,2,60,386,2, - , - , - ,2,Premium,2,12345,24690,3209.7,27899.7
173,26/06/2018,26/06/2018,corporate,Linda Barrett,"Groupon, Inc.",StanleyDRosenstein@einrot.com,20,400,4, - , - , - , - , - , - ,4,Premium,4,12345,49380,6419.4,55799.4
174,27/06/2018,27/06/2018,commercial,William Roberts,Canadian Solar Inc.,PaulFRhem@rhyta.com,34, - ,7,29,749,5, - , - , - ,5,Premium,5,12345,61725,8024.25,69749.2
175,3/7/2018,3/7/2018,corporate,Veronica Able,HSBC Holdings plc,BarbaraRDoggett@armyspy.com,44, - ,4,155,55, - , - ,55, - ,3,Premium,3,12345,37035,4814.55,41849.6
176,11/7/2018,11/7/2018,commercial,Raquel Smith,DURECT Corporation,RaulPBuckner@teleworm.us,26,75,3, - , - , - , - , - , - ,2,Excelium,2,15400,30800,4928,35728
177,22/07/2018,22/07/2018,hybrid,Annette Whitley,"Westar Energy, Inc.",LyndaTFerrel@dayrep.com,25,400,3, - , - , - , - , - , - ,6,Excelium,6,15400,92400,14784,107184
178,6/8/2018,6/8/2018,commercial,Karen Moorhead,"DHT Holdings, Inc.",JamesJMorel@gustr.com,15, - ,4,35,870,7, - , - , - ,7,Excelium,7,15400,107800,17248,125048
179,6/8/2018,6/8/2018,corporate,Jonathan Manning,Pimco New York Municipal Income Fund II,ScottMHall@gustr.com,400, - ,5,300,400, - , - ,350, - ,147,Premium,147,12345,1814720,235913,2050630
180,13/08/2018,13/08/2018,hybrid,William Deherrera,Yelp Inc.,MarkWPrice@fleckens.hu,9, - ,2, - ,548, - ,38,560, - ,7,Standard,7,7565,52955,5295.5,58250.5
